iter	Logloss
0	0.6061971966
1	0.5307561893
2	0.4746970943
3	0.4402735326
4	0.4141234398
5	0.3918639835
6	0.3766944754
7	0.3651909443
8	0.3563255614
9	0.3489532039
10	0.3426423085
11	0.3378736955
12	0.3340976425
13	0.3305518261
14	0.32669748
15	0.324514102
16	0.3214615826
17	0.319678603
18	0.3180054666
19	0.3162338856
20	0.3149255892
21	0.3136565891
22	0.3122662039
23	0.3115820996
24	0.3106779757
25	0.3087550417
26	0.3080888662
27	0.3068603496
28	0.306360218
29	0.3056974571
30	0.3046344814
31	0.3041178608
32	0.3034043965
33	0.302911641
34	0.3024471624
35	0.3017281881
36	0.3010502333
37	0.3003741625
38	0.299971347
39	0.2994365116
40	0.2990660198
41	0.2972444925
42	0.2968386719
43	0.2961248904
44	0.2958448984
45	0.2954164885
46	0.2952094091
47	0.294870714
48	0.2944848398
49	0.294061451
50	0.2937706981
51	0.2931506689
52	0.2924265675
53	0.2919908405
54	0.2916189478
55	0.291339288
56	0.2910559657
57	0.2908920793
58	0.2906350819
59	0.2900179708
60	0.2897154107
61	0.2894938826
62	0.2891937218
63	0.2890848639
64	0.2889399284
65	0.2886353928
66	0.2883995823
67	0.2879653781
68	0.2877796943
69	0.2875424794
70	0.2873649721
71	0.2870789651
72	0.2869358429
73	0.2861064673
74	0.2859575372
75	0.2857249275
76	0.2855520161
77	0.2854787441
78	0.2852505842
79	0.2850805473
80	0.2846511572
81	0.2845956041
82	0.2845169847
83	0.2844665029
84	0.2844289953
85	0.284235349
86	0.2839594475
87	0.2837517042
88	0.2828673923
89	0.2827150445
90	0.2825393509
91	0.2823116537
92	0.2820850427
93	0.2820391539
94	0.2817703203
95	0.2815754913
96	0.2813033789
97	0.2812017753
98	0.2810004482
99	0.28017207
100	0.2799143732
101	0.2796712938
102	0.2796080089
103	0.2795134702
104	0.2789495938
105	0.278804309
106	0.2787235676
107	0.278635044
108	0.278485054
109	0.2779736344
110	0.2777248818
111	0.2773898078
112	0.2771378047
113	0.2767251905
114	0.2765302815
115	0.2763349507
116	0.2760776833
117	0.2759618009
118	0.2757988555
119	0.2756323202
120	0.2751433014
121	0.2746083349
122	0.2743661284
123	0.2739965638
124	0.2738852168
125	0.2738282481
126	0.2735852952
127	0.2734030263
128	0.2732159573
129	0.2730783706
130	0.2726533457
131	0.2725120437
132	0.2723314868
133	0.2719944363
134	0.2716506487
135	0.271392566
136	0.2712217371
137	0.2711748584
138	0.2711110628
139	0.2708461954
140	0.270688032
141	0.2705111271
142	0.270321418
143	0.2703180636
144	0.2701132834
145	0.2700130882
146	0.2698020433
147	0.2695978956
148	0.269489433
149	0.2693533246
150	0.2692237381
151	0.2691590835
152	0.2689567998
153	0.2687967157
154	0.2687135604
155	0.2684985416
156	0.2682452897
157	0.2679927657
158	0.2678414081
159	0.2676577869
160	0.2675369836
161	0.2674549703
162	0.2673923402
163	0.2672032411
164	0.267115993
165	0.2669777835
166	0.2664705585
167	0.2664109084
168	0.2663487329
169	0.266130986
170	0.2659595379
171	0.2658721837
172	0.2657421966
173	0.2656383007
174	0.2654485095
175	0.2654125832
176	0.2653991939
177	0.265291915
178	0.2651523008
179	0.2651288946
180	0.2650689428
181	0.2649595165
182	0.26479502
183	0.2646877735
184	0.2646314903
185	0.2644804756
186	0.2644425206
187	0.2644241669
188	0.2642398796
189	0.2641254485
190	0.2640690112
191	0.2639077283
192	0.263896779
193	0.2637389912
194	0.2635795674
195	0.2634099268
196	0.2633861383
197	0.2632509701
198	0.2631504752
199	0.2629589569
200	0.2629328511
201	0.2628081821
202	0.2626225828
203	0.2625413106
204	0.26250611
205	0.2623231592
206	0.2622022357
207	0.2621366873
208	0.2617642168
209	0.2616306918
210	0.2615141139
211	0.2614036066
212	0.2613784466
213	0.2611626607
214	0.2610617257
215	0.2609649438
216	0.2608430655
217	0.2607656515
218	0.2607095121
219	0.2605603023
220	0.2604172137
221	0.2603007711
222	0.260225548
223	0.2600387304
224	0.2598753076
225	0.2597800627
226	0.2596807927
227	0.2596432249
228	0.2594600339
229	0.259400472
230	0.2592914898
231	0.2591196195
232	0.2590237455
233	0.2590132481
234	0.258991956
235	0.2588923029
236	0.2588243479
237	0.258684258
238	0.2585627213
239	0.2583629368
240	0.2582940661
241	0.2581758212
242	0.2579798151
243	0.257929123
244	0.2578473796
245	0.2576976609
246	0.2575830155
247	0.2575618661
248	0.2573987186
249	0.257258495
250	0.2571213914
251	0.257037261
252	0.2568520747
253	0.2566943903
254	0.2565732803
255	0.2565573527
256	0.2564494171
257	0.2564212988
258	0.2562107376
259	0.2561345587
260	0.255999613
261	0.2559574659
262	0.2558397737
263	0.255759062
264	0.255657797
265	0.2555449958
266	0.2554620928
267	0.2552971802
268	0.2552206717
269	0.2551156689
270	0.2549560923
271	0.254834701
272	0.2547797476
273	0.2547522147
274	0.2546687909
275	0.2545623369
276	0.2545550188
277	0.2544468644
278	0.2543420757
279	0.2542138146
280	0.2540990645
281	0.254002255
282	0.2538965663
283	0.2538101208
284	0.2536915591
285	0.2536789964
286	0.2536083936
287	0.2535489463
288	0.2533901036
289	0.2533230264
290	0.2532654988
291	0.2530807087
292	0.2529996338
293	0.2528407437
294	0.2527611843
295	0.2526430585
296	0.2526052034
297	0.2525669027
298	0.2524830886
299	0.252411948
300	0.2522534826
301	0.2521288374
302	0.2520894051
303	0.2518788023
304	0.2517680384
305	0.2516820419
306	0.2516032407
307	0.2515565873
308	0.2514954239
309	0.2513714916
310	0.2513624821
311	0.2511825004
312	0.2510644813
313	0.2509489329
314	0.2508449592
315	0.2507414583
316	0.2506596512
317	0.2505289559
318	0.2504292141
319	0.250272715
320	0.2501644358
321	0.2501028917
322	0.2498756978
323	0.2497751186
324	0.2495263343
325	0.2494951657
326	0.2494050948
327	0.24937025
328	0.2492611822
329	0.248874903
330	0.248775478
331	0.2487510744
332	0.2485946898
333	0.2485182719
334	0.2483372139
335	0.2481232406
336	0.2481001998
337	0.2480333548
338	0.2480022905
339	0.2479220039
340	0.2477195228
341	0.2476794674
342	0.2475987934
343	0.2475044968
344	0.2473881984
345	0.2473754102
346	0.247249723
347	0.2470572607
348	0.2469876427
349	0.2469120099
350	0.2467975076
351	0.2467557657
352	0.2466080685
353	0.246453679
354	0.2463936352
355	0.2463574685
356	0.2462809201
357	0.2462601399
358	0.2461920156
359	0.2460287092
360	0.2459512098
361	0.2458206448
362	0.245797758
363	0.2456916785
364	0.2455380308
365	0.2453959638
366	0.2452458293
367	0.2451657721
368	0.2451343584
369	0.2450725123
370	0.2449652102
371	0.2449388939
372	0.2448139046
373	0.2447962099
374	0.2446838839
375	0.2446118134
376	0.2445806976
377	0.2444839337
378	0.2443267741
379	0.2443037549
380	0.244252681
381	0.2441950526
382	0.244095591
383	0.244044606
384	0.2439229493
385	0.2439095137
386	0.2438077566
387	0.2437375929
388	0.2436871768
389	0.2435940053
390	0.2434923541
391	0.2433258638
392	0.2431267119
393	0.2430624934
394	0.2430602077
395	0.2430273602
396	0.2430106831
397	0.2429280135
398	0.2428798487
399	0.2427663547
400	0.2426673852
401	0.2426455125
402	0.2425584621
403	0.2425146028
404	0.2424536449
405	0.2423629311
406	0.2423160051
407	0.2422448219
408	0.2421710537
409	0.2421529827
410	0.2420817824
411	0.2420119482
412	0.241966805
413	0.2419033462
414	0.2417368842
415	0.241713225
416	0.2416696877
417	0.2415908058
418	0.2415557487
419	0.2415295466
420	0.2414620102
421	0.2413540296
422	0.2412704025
423	0.2411676602
424	0.2411601963
425	0.2411024978
426	0.2409318693
427	0.2407496008
428	0.2407196354
429	0.2406779089
430	0.2405404181
431	0.2403478195
432	0.2403259782
433	0.2402869603
434	0.2402024862
435	0.2401690483
436	0.2400472337
437	0.2399530436
438	0.2399183101
439	0.239842268
440	0.2397110841
441	0.2396598942
442	0.2395922406
443	0.2395775582
444	0.2395098506
445	0.2393967292
446	0.2393648996
447	0.2393323063
448	0.2393170202
449	0.239241714
450	0.2391558741
451	0.2390964215
452	0.2389656689
453	0.2389125941
454	0.238908953
455	0.2388407539
456	0.2387667751
457	0.2385913004
458	0.238512686
459	0.2384716814
460	0.2383615857
461	0.2382063082
462	0.2381753627
463	0.2381254712
464	0.2380072468
465	0.2379643612
466	0.2378491909
467	0.2376886145
468	0.2375472969
469	0.2374033015
470	0.2373832876
471	0.237316065
472	0.2372354003
473	0.2371201937
474	0.2369526831
475	0.2369319233
476	0.2368967822
477	0.2368362949
478	0.2367157231
479	0.2366125983
480	0.2365282314
481	0.2364775312
482	0.2363806459
483	0.2363040491
484	0.2362611348
485	0.2362112376
486	0.2361941852
487	0.2360545379
488	0.2359287311
489	0.2359128095
490	0.2358868216
491	0.2357593131
492	0.235749222
493	0.2357234101
494	0.2356716774
495	0.2356271447
496	0.2355677124
497	0.2354680245
498	0.2354596929
499	0.2354096122
500	0.2353284479
501	0.2352233714
502	0.2351117351
503	0.235057099
504	0.2350161416
505	0.2349767334
506	0.2349467236
507	0.2349025013
508	0.2348686448
509	0.23472728
510	0.2347065891
511	0.2346292298
512	0.2346112435
513	0.234534429
514	0.2345083153
515	0.2344205468
516	0.2343384432
517	0.2342631464
518	0.234259041
519	0.2341956064
520	0.2341267919
521	0.2340371436
522	0.2339626454
523	0.233871107
524	0.2338385202
525	0.2337362525
526	0.2336976551
527	0.233628863
528	0.2335602163
529	0.233544294
530	0.2334257623
531	0.2333238395
532	0.2332633861
533	0.2331822081
534	0.2330827694
535	0.2330202117
536	0.2327999483
537	0.2327383797
538	0.2326952792
539	0.2326177973
540	0.2325831741
541	0.2325025418
542	0.2324533116
543	0.2324107197
544	0.2323414633
545	0.2322922405
546	0.2322107491
547	0.2321492566
548	0.2320915204
549	0.2320380081
550	0.2320176512
551	0.231973462
552	0.2318952225
553	0.2317779991
554	0.2316608453
555	0.2316041952
556	0.2315443453
557	0.231487975
558	0.2314309938
559	0.2313687481
560	0.2313566091
561	0.2312774353
562	0.231160883
563	0.2310787087
564	0.2309185261
565	0.2308743462
566	0.2308305752
567	0.2306482397
568	0.2305944397
569	0.2304492641
570	0.2303947937
571	0.230255422
572	0.230130903
573	0.2300551488
574	0.2300159545
575	0.2299507054
576	0.2299081634
577	0.2298217683
578	0.2297865335
579	0.2297239695
580	0.229665406
581	0.2296391026
582	0.2295696628
583	0.2295237585
584	0.229501079
585	0.2294410989
586	0.2293308291
587	0.2292619963
588	0.2292280103
589	0.2291564726
590	0.229109892
591	0.2290256796
592	0.2289833457
593	0.2289161047
594	0.2288371496
595	0.2287600293
596	0.2287036242
597	0.2286511854
598	0.2286139736
599	0.2285756648
600	0.228525519
601	0.2284851619
602	0.2284515111
603	0.2283640294
604	0.2282326981
605	0.2281201833
606	0.228105586
607	0.228065338
608	0.2280626491
609	0.2280398568
610	0.2280001651
611	0.2278717905
612	0.2277823921
613	0.2277459413
614	0.2275881458
615	0.2275154024
616	0.2274515131
617	0.2273511712
618	0.2272283537
619	0.2271724261
620	0.227102267
621	0.2269741314
622	0.2269217152
623	0.2268757708
624	0.2267553246
625	0.226655605
626	0.2266255809
627	0.2265781153
